"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","q95hd","u_q95hd","hrmode","u_hrmode","skew","u_skew","skewgm","u_skewgm","skewgm_f","u_skewgm_f","skewgm_mcf","u_skewgm_mcf","kurt","u_kurt","kurtcs","u_kurtcs","kurtcs_f","u_kurtcs_f","kurtcs_mcf","u_kurtcs_mcf","gini","u_gini","gimc","u_gimc"
"BOR2019","LDA",-1,FALSE,1.1672,0.048,1.1522,0.049,1.0693,0.093,3.183,0.21,0.86385,0.14,2.7092,0.59,0.31021,0.041,0.34006,0.04,0.4879,0.063,16.19,5.8,1.5666,0.48,1.3965,0.48,2.645,0.82,0.42418,0.015,0.53371,0.021
"BOR2019","LDA + SOC",-1,FALSE,1.2387,0.048,1.231,0.049,1.0616,0.093,3.258,0.22,1.1997,0.2,2.7664,0.61,0.3165,0.044,0.33194,0.044,0.43396,0.059,16.676,6,1.6548,0.49,1.5221,0.49,1.997,0.86,0.39994,0.015,0.50153,0.022
"BOR2019","PBE",-1,FALSE,1.0523,0.046,1.0267,0.047,1.0261,0.093,2.9538,0.2,0.69495,0.15,2.7939,0.66,0.29183,0.043,0.34508,0.042,0.5106,0.062,17.579,6.6,1.6037,0.49,1.4184,0.49,2.5157,0.75,0.44188,0.016,0.5353,0.021
"BOR2019","PBE + SOC",-1,FALSE,1.1248,0.046,1.1138,0.046,1.0144,0.094,3.0397,0.2,0.7578,0.19,2.9045,0.68,0.30712,0.043,0.33018,0.042,0.52751,0.062,18.452,6.9,1.6426,0.5,1.4891,0.49,2.9489,0.88,0.41528,0.015,0.53428,0.022
"BOR2019","PBE_SOL",-1,FALSE,1.1172,0.047,1.0986,0.047,1.0389,0.089,3.0807,0.2,0.91605,0.14,2.6475,0.59,0.28692,0.042,0.32413,0.041,0.44389,0.066,15.83,5.7,1.5244,0.49,1.3578,0.48,2.2772,0.8,0.43052,0.015,0.52237,0.02
"BOR2019","HLE16",-1,FALSE,0.59884,0.037,0.37368,0.042,0.89549,0.084,1.8837,0.18,-0.01815,0.079,2.7375,0.54,0.32643,0.044,0.4853,0.042,0.48676,0.042,17.316,4.2,1.5827,0.46,1.5449,0.56,1.5628,0.57,0.54012,0.018,0.5397,0.019
"BOR2019","HLE16 + SOC",-1,FALSE,0.61015,0.038,0.51123,0.04,0.85954,0.089,1.9517,0.19,0.0692,0.1,3.1985,0.6,0.37205,0.043,0.55693,0.041,0.56749,0.041,21.006,5.3,1.6353,0.47,1.7143,0.54,1.8539,0.7,0.55013,0.018,0.55994,0.019
"BOR2019","BJ",-1,FALSE,0.79105,0.037,0.72717,0.039,0.86942,0.073,2.3121,0.2,0.42405,0.049,2.5292,0.52,0.3158,0.045,0.44512,0.046,0.50196,0.041,14.734,4.6,1.7409,0.47,1.542,0.5,2.2115,0.65,0.46739,0.016,0.53627,0.019
"BOR2019","mBJ",-1,FALSE,0.49656,0.025,0.22212,0.031,0.68348,0.051,1.4059,0.081,0.06635,0.089,1.4937,0.52,0.16463,0.041,0.41382,0.047,0.41704,0.049,10.421,3.2,0.72105,0.32,0.30238,0.33,0.25346,0.33,0.49003,0.016,0.4909,0.018
"BOR2019","SCAN",-1,FALSE,0.8131,0.039,0.74266,0.042,0.91975,0.085,2.4318,0.19,0.46595,0.15,2.7898,0.68,0.28044,0.043,0.42349,0.04,0.5058,0.05,18.037,6.6,1.5767,0.47,1.3762,0.51,2.1122,0.67,0.47337,0.017,0.5286,0.02
"BOR2019","HSE06",-1,FALSE,0.52636,0.031,0.098536,0.037,0.84744,0.075,1.6994,0.16,0.08515,0.061,2.4106,0.68,0.13874,0.051,0.51755,0.039,0.52216,0.04,16.558,5.8,2.6622,0.5,1.5509,0.51,1.0647,0.49,0.54605,0.017,0.546,0.018
"BOR2019","HSE14",-1,FALSE,0.57269,0.03,-0.17169,0.036,0.83054,0.061,1.8164,0.13,0.08515,0.2,1.1504,0.54,0.053702,0.055,0.4184,0.039,0.35466,0.087,10.811,2.4,2.3462,0.43,0.6401,0.27,0.52965,0.66,0.51165,0.015,0.49718,0.018
"BOR2019","HSE_mix",-1,FALSE,0.64283,0.032,-0.36956,0.038,0.85645,0.054,1.9721,0.13,-0.0111,0.11,-0.32023,0.45,-0.1234,0.05,0.43024,0.053,0.43951,0.066,7.9144,1.5,1.9823,0.4,0.53552,0.34,0.55438,0.45,0.51586,0.015,0.51824,0.016
"BOR2019","PBE0",-1,FALSE,0.7777,0.028,-0.47213,0.039,0.86792,0.072,1.8296,0.12,-0.55945,0.084,2.1088,0.62,0.15761,0.051,0.30558,0.049,0.56133,0.056,14.5,4.6,2.8445,0.49,0.60411,0.33,1.8083,0.56,0.37808,0.014,0.54876,0.019
"BOR2019","PBE0_mix",-1,FALSE,0.81724,0.036,-0.59525,0.043,0.96544,0.054,2.445,0.15,-0.3911,0.14,-0.83836,0.3,-0.18269,0.045,0.42553,0.035,0.48736,0.042,6.4592,0.91,1.7571,0.38,0.88046,0.39,0.83479,0.44,0.47448,0.014,0.51721,0.014
"NAR2019","G4MP2",-1,FALSE,0.7941,0.033,-0.060588,0.048,1.0567,0.046,2.209,0.087,-0.19,0.16,-0.34753,0.22,0.032961,0.046,0.43399,0.037,0.36723,0.05,4.4332,0.72,0.93653,0.26,0.047194,0.21,-0.11702,0.21,0.45723,0.012,0.46766,0.014
"NAR2019","B3LYP",-1,FALSE,3.9907,0.15,3.6137,0.17,3.6745,0.32,9.2503,0.55,3.03,0.79,1.9095,0.82,0.10259,0.046,0.23348,0.044,0.39492,0.05,15.445,6.5,0.92402,0.3,0.34564,0.28,0.75387,0.37,0.4001,0.016,0.4711,0.017
"NAR2019","M06-2X",-1,FALSE,2.7052,0.099,-0.087473,0.17,3.4561,0.2,6.0963,0.46,-3.73,1.9,1.242,0.42,0.16577,0.049,0.21266,0.052,0.22719,0.11,7.1166,2.7,-0.20508,0.18,0.080408,0.28,-0.3355,0.48,0.39486,0.014,0.45578,0.027
"NAR2019","wB97X-D",-1,FALSE,1.8543,0.092,0.52329,0.13,2.654,0.25,5.1783,0.38,-0.51,0.56,2.13,0.93,0.17815,0.044,0.36517,0.042,0.38878,0.061,17.66,7.7,0.53333,0.23,0.84303,0.37,0.87313,0.44,0.46792,0.018,0.48254,0.02
"PER2018","B3LYP",-1,FALSE,1.1819,0.09,0.97928,0.1,1.5103,0.12,4.4865,0.49,0.71038,0.11,1.614,0.3,0.30132,0.074,0.55333,0.047,0.64031,0.046,7.2574,1.1,4.9254,0.96,4.2087,0.87,2.9689,0.87,0.51491,0.02,0.61378,0.02
"PER2018","B97-1",-1,FALSE,0.85462,0.052,0.50593,0.069,1.0514,0.082,2.6704,0.35,0.83844,0.12,0.25805,0.39,-0.1229,0.077,0.29659,0.061,0.4658,0.076,6.6806,0.75,3.475,0.72,2.0429,0.56,1.2431,0.62,0.44402,0.021,0.54725,0.021
"PER2018","BH&HLYP",-1,FALSE,4.8311,0.23,4.7918,0.23,3.4953,0.24,11.744,0.61,3.0195,0.35,1.3889,0.25,0.41601,0.052,0.4349,0.049,0.58382,0.057,5.6335,1.1,0.60202,0.48,0.5611,0.47,0.7055,0.54,0.36837,0.015,0.56114,0.02
"PER2018","BLYP",-1,FALSE,1.627,0.1,0.41088,0.14,2.2323,0.17,5.3257,0.56,1.5794,0.45,-1.2904,0.27,-0.24112,0.067,0.38788,0.056,0.48364,0.072,6.5931,0.87,3.4699,0.78,2.6329,0.6,1.442,0.74,0.46465,0.02,0.55467,0.02
"PER2018","CAM-B3LYP",-1,FALSE,0.90408,0.091,0.55114,0.1,1.5431,0.12,4.1328,0.37,0.0013393,0.067,1.7781,0.26,0.57235,0.057,0.75235,0.035,0.75278,0.035,6.611,1.1,5.1012,1.3,3.3945,1.4,3.3964,1.3,0.66318,0.015,0.66299,0.016
"PER2018","LC-ωPBE",-1,FALSE,1.0939,0.095,0.73093,0.11,1.6697,0.14,4.3381,0.51,0.267,0.13,1.7247,0.35,0.44708,0.064,0.70416,0.043,0.6169,0.051,8.0118,1.8,2.8174,0.82,1.6788,0.73,2.0476,0.78,0.60329,0.018,0.60233,0.02
"PER2018","PBE",-1,FALSE,2.7916,0.16,-2.5326,0.17,2.6678,0.2,8.0647,0.83,-1.2735,0.45,-1.335,0.23,-0.21869,0.061,0.3637,0.051,0.49195,0.07,6.041,0.86,1.9695,0.52,1.3679,0.51,1.1806,0.54,0.42315,0.018,0.53174,0.023
"PER2018","PBE0",-1,FALSE,0.92456,0.074,0.23639,0.096,1.442,0.12,3.2688,0.5,-0.01,0.16,1.7744,0.21,0.34915,0.063,0.55656,0.05,0.55658,0.063,7.1871,1,2.994,0.86,1.3515,0.62,1.3774,0.71,0.56521,0.021,0.56752,0.024
"PER2018","PW86PBE",-1,FALSE,1.6352,0.12,-0.53545,0.16,2.4625,0.2,6.1354,0.89,0.83679,0.46,-1.4858,0.27,-0.26106,0.068,0.63105,0.038,0.42465,0.088,7.0637,1.1,2.6844,0.59,2.3709,0.7,1.8603,0.67,0.52769,0.021,0.53565,0.021
"SCH2018","LDA",-1,FALSE,0.71559,0.031,0.68462,0.035,0.48557,0.024,1.5148,0.07,0.6,0.22,0.14917,0.14,0.047104,0.072,0.13761,0.078,0.27584,0.075,2.8664,0.22,0.13764,0.23,-0.27681,0.2,0.091083,0.28,0.34472,0.017,0.41408,0.016
"SCH2018","PBE",-1,FALSE,0.18687,0.0099,0.093231,0.016,0.21256,0.0094,0.41837,0.023,0,0.078,-0.11044,0.12,-0.0046733,0.06,0.14606,0.072,0.14606,0.085,2.5127,0.18,-0.089637,0.22,-0.78751,0.19,-0.78751,0.29,0.4139,0.02,0.4139,0.017
"SCH2018","RPBE",-1,FALSE,0.21231,0.01,-0.17169,0.013,0.18856,0.0076,0.46332,0.021,-0.31,0.062,0.10973,0.12,0.10578,0.072,0.11013,0.081,0.24924,0.086,2.2494,0.16,-0.64345,0.2,-0.65439,0.16,-1.0051,0.23,0.37564,0.018,0.44998,0.027
"SCH2018","vdW-DF2",-1,FALSE,0.20882,0.01,0.023282,0.017,0.25419,0.011,0.50316,0.035,0.13,0.11,-0.17486,0.13,-0.084259,0.065,0.20889,0.11,0.20657,0.067,2.6425,0.19,-0.059188,0.27,-0.16135,0.19,-0.14687,0.29,0.38764,0.018,0.42454,0.02
"SCH2018","BEEF-vdW",-1,FALSE,0.14569,0.008,-0.0094872,0.013,0.18237,0.0083,0.34049,0.012,0.02,0.046,-0.16862,0.11,-0.084688,0.057,0.30803,0.073,0.32714,0.085,2.5156,0.17,-0.088302,0.27,-0.81082,0.21,-0.63785,0.22,0.42113,0.017,0.43023,0.019
"SCH2018","mBEEF",-1,FALSE,0.20559,0.0099,0.057897,0.018,0.24212,0.014,0.48625,0.03,0.27,0.068,-0.99989,0.14,-0.28841,0.054,0.14694,0.068,0.41356,0.078,3.4797,0.46,0.23825,0.32,-0.24616,0.2,0.16276,0.49,0.37626,0.018,0.50302,0.023
"SCH2018","mBEEF-vdW",-1,FALSE,0.31154,0.013,0.22621,0.021,0.2848,0.014,0.63641,0.023,0.38,0.12,-0.55838,0.13,-0.05118,0.059,0.11586,0.092,0.38483,0.1,2.9858,0.33,0.0010874,0.29,-0.52392,0.18,0.42951,0.43,0.34152,0.016,0.44431,0.022
"THA2015","M11",-1,FALSE,3.0813,0.29,0.74089,0.41,4.5132,0.49,10.103,1.5,0.95809,0.78,-0.74673,0.59,-0.046718,0.1,0.44438,0.076,0.57626,0.095,7.315,1.7,3.1787,0.87,0.93519,0.67,1.4907,0.82,0.52938,0.025,0.54359,0.026
"THA2015","M06-2X",-1,FALSE,3.1992,0.28,1.2276,0.39,4.3625,0.45,10.109,1.5,0.23417,1.2,-0.62156,0.51,-0.10563,0.091,0.3583,0.069,0.39752,0.1,6.5305,1.2,2.8278,0.75,0.89141,0.5,1.0153,1,0.49811,0.026,0.50824,0.027
"THA2015","ωB97",-1,FALSE,3.283,0.28,0.72676,0.4,4.5208,0.42,10.995,1.5,1.7722,1.4,-0.58476,0.43,-0.15273,0.087,0.33963,0.078,0.4961,0.094,5.7263,0.81,2.1408,0.67,1.2831,0.46,1.7231,0.69,0.47756,0.025,0.50999,0.028
"THA2015","LC-τHCTH",-1,FALSE,3.0309,0.27,0.37019,0.39,4.3649,0.42,10.476,1.5,-1.4149,1.3,-0.47628,0.48,-0.064929,0.089,0.5053,0.085,0.29607,0.096,6.144,0.94,2.0925,0.69,1.3894,0.5,0.75071,0.85,0.50117,0.024,0.46262,0.029
"THA2015","HISS",-1,FALSE,3.7931,0.27,2.315,0.38,4.2843,0.43,10.385,1.6,1.656,1.1,-0.55912,0.5,-0.065658,0.097,0.22836,0.075,0.45171,0.1,6.4072,1.1,2.8006,0.74,0.99089,0.5,1.2012,0.87,0.40574,0.024,0.51509,0.027
"THA2015","LC-ωPBE",-1,FALSE,3.8503,0.26,2.0045,0.4,4.481,0.43,10.515,1.4,2.6201,0.83,-0.73851,0.43,-0.17011,0.088,0.33015,0.068,0.51056,0.08,5.9436,0.94,2.4129,0.76,0.97203,0.5,1.6712,0.63,0.39874,0.023,0.53051,0.027
"THA2015","MP2",-1,FALSE,3.1681,0.28,0.83531,0.39,4.4456,0.44,10.81,1.7,1.6844,1.1,-0.085745,0.51,-0.1019,0.094,0.40831,0.067,0.53465,0.081,6.1236,0.83,2.6273,0.8,1.6407,0.59,2.1666,0.72,0.49043,0.026,0.52011,0.024
"WU2015","HF",-1,FALSE,4.2378,0.18,3.7843,0.22,2.9539,0.24,8.0324,0.33,3.5848,0.85,-0.86448,0.32,-0.040347,0.074,0.14065,0.078,0.32275,0.085,4.8087,1.2,0.45803,0.39,-0.38512,0.22,-0.12853,0.61,0.30133,0.018,0.4525,0.023
"WU2015","MP2",-1,FALSE,0.52883,0.033,-0.41314,0.042,0.49689,0.032,1.1967,0.098,-0.4866,0.19,0.070321,0.21,0.045179,0.066,0.19815,0.065,0.21665,0.079,3.2793,0.37,0.25743,0.37,-0.30191,0.33,0.24591,0.38,0.38693,0.021,0.42997,0.019
"WU2015","LSDA",-1,FALSE,6.545,0.18,-6.4423,0.21,2.4686,0.26,11.205,0.72,-6.2186,0.8,0.087677,0.65,-0.096255,0.088,0.16673,0.075,0.41287,0.084,7.2348,1.2,1.4976,0.77,0.82411,0.39,2.7537,1.1,0.17679,0.012,0.48538,0.026
"WU2015","PBE",-1,FALSE,6.0785,0.18,-5.9753,0.21,2.4385,0.26,10.802,0.7,-5.871,0.38,-0.13657,0.64,-0.13854,0.088,0.2156,0.069,0.46112,0.068,7.1452,1.2,1.9302,0.84,1.1901,0.49,1.9667,0.78,0.18609,0.013,0.51673,0.026
"WU2015","HCTH",-1,FALSE,4.8912,0.18,-4.751,0.21,2.4769,0.26,9.6249,0.69,-4.651,0.7,-0.097653,0.62,-0.11702,0.087,0.17914,0.071,0.39531,0.075,6.9157,1.1,1.5534,0.8,0.9419,0.46,2.0186,0.86,0.23469,0.016,0.49901,0.024
"WU2015","N12",-1,FALSE,3.9666,0.2,-3.78,0.22,2.6778,0.26,9.2011,0.76,-2.7152,0.46,-0.4796,0.52,-0.18999,0.084,0.28323,0.064,0.53405,0.066,6.1991,0.95,2.2683,0.86,1.2846,0.55,1.841,0.66,0.31309,0.019,0.52856,0.024
"WU2015","revTPSS",-1,FALSE,4.546,0.18,-4.4243,0.2,2.3922,0.24,9.305,0.75,-3.6498,0.25,-0.42261,0.57,-0.20867,0.087,0.28164,0.069,0.52342,0.078,6.605,1,2.1019,0.92,1.5669,0.68,1.6997,0.58,0.24391,0.017,0.54065,0.025
"WU2015","tHCTH",-1,FALSE,4.561,0.19,-4.4127,0.21,2.5305,0.26,9.4701,0.74,-3.7459,0.47,-0.2878,0.6,-0.17003,0.087,0.23734,0.071,0.49839,0.07,6.8233,1.1,1.8901,0.84,1.244,0.5,2.2722,0.72,0.25673,0.017,0.52773,0.025
"WU2015","M11-L",-1,FALSE,8.3238,0.23,-8.2153,0.25,3.0962,0.29,13.775,0.58,-6.9881,0.46,0.014244,0.54,-0.25618,0.08,0.32153,0.061,0.5328,0.066,5.8344,1.1,0.98503,0.79,0.50962,0.45,0.89376,0.58,0.18127,0.01,0.53408,0.024
"WU2015","MN12-L",-1,FALSE,4.8955,0.22,-4.7579,0.24,2.9612,0.24,10.851,0.75,-4.2377,0.68,-0.53503,0.36,-0.22667,0.071,0.28944,0.059,0.45041,0.085,4.6697,0.63,1.1217,0.66,0.71287,0.47,1.0796,0.55,0.29744,0.016,0.5013,0.025
"WU2015","PBE0",-1,FALSE,1.9573,0.14,-1.627,0.17,2.0568,0.19,5.8448,0.44,-1.1218,0.22,-0.43355,0.44,-0.28125,0.081,0.52442,0.075,0.46519,0.06,5.4399,0.78,2.0461,0.7,1.0099,0.43,1.376,0.54,0.45205,0.02,0.54792,0.026
"WU2015","mPW1PW",-1,FALSE,1.7538,0.14,-1.3518,0.17,2.0619,0.18,5.7041,0.42,-0.92741,0.22,-0.51941,0.42,-0.29171,0.081,0.56258,0.081,0.48229,0.061,5.3513,0.77,2.0578,0.7,1.2364,0.49,1.5196,0.58,0.49367,0.021,0.54159,0.025
"WU2015","B3LYP",-1,FALSE,3.0977,0.15,-2.9595,0.17,2.0971,0.2,7.2244,0.49,-2.5341,0.34,-0.48976,0.49,-0.26804,0.081,0.35515,0.067,0.50208,0.068,5.8065,0.88,1.9807,0.78,1.1265,0.49,2.0945,0.78,0.31738,0.018,0.53874,0.027
"WU2015","B3PW91",-1,FALSE,2.1365,0.15,-1.8623,0.17,2.1086,0.2,6.2274,0.5,-1.4087,0.28,-0.53443,0.46,-0.27338,0.082,0.46771,0.066,0.50685,0.062,5.7024,0.84,2.1846,0.74,1.0494,0.47,1.7952,0.6,0.43485,0.021,0.54617,0.026
"WU2015","B97-2",-1,FALSE,1.948,0.15,-1.5941,0.17,2.146,0.2,6.0606,0.47,-0.79995,0.21,-0.53733,0.44,-0.28058,0.08,0.52347,0.067,0.50225,0.064,5.5486,0.81,2.3325,0.77,1.1935,0.49,1.4596,0.56,0.47042,0.021,0.55181,0.022
"WU2015","M06",-1,FALSE,2.8929,0.13,-2.756,0.14,1.807,0.18,6.0234,0.44,-2.5908,0.43,0.26772,0.57,-0.12382,0.079,0.2154,0.059,0.38417,0.1,6.4159,1.2,1.1564,0.79,0.35066,0.43,1.0015,0.65,0.29789,0.016,0.49565,0.027
"WU2015","M06-2X",-1,FALSE,1.244,0.097,-0.26542,0.13,1.6733,0.13,3.8522,0.37,0.41278,0.4,-0.35297,0.33,-0.1946,0.08,0.39616,0.062,0.42128,0.073,4.2735,0.58,0.61941,0.52,0.92435,0.4,0.64996,0.49,0.46784,0.022,0.48739,0.024
"WU2015","M06-HF",-1,FALSE,1.7488,0.099,0.81397,0.15,1.9466,0.14,4.1585,0.45,2.0039,0.45,-0.6705,0.23,-0.27348,0.065,0.12501,0.09,0.5186,0.093,3.8174,0.52,0.6168,0.42,0.38823,0.35,0.063354,0.5,0.3634,0.022,0.50797,0.025
"WU2015","SOGGA11X",-1,FALSE,1.4981,0.13,-0.83793,0.16,1.9798,0.15,5.1647,0.32,-0.34128,0.39,-0.59271,0.29,-0.24277,0.078,0.49104,0.055,0.48102,0.066,4.2237,0.55,1.2502,0.56,0.8038,0.49,1.1495,0.53,0.5164,0.02,0.50328,0.023
"WU2015","tHCTHhyb",-1,FALSE,2.9704,0.17,-2.7908,0.19,2.2792,0.22,7.5298,0.6,-2.1989,0.18,-0.54379,0.49,-0.27254,0.084,0.39483,0.063,0.50159,0.057,5.9622,0.9,2.4526,0.83,1.3973,0.54,1.8051,0.59,0.35401,0.02,0.56034,0.024
"WU2015","BMK",-1,FALSE,1.6153,0.13,-0.77516,0.17,2.1186,0.15,5.2309,0.38,-0.34983,0.5,-0.71809,0.23,-0.21979,0.068,0.44219,0.059,0.43015,0.08,3.8952,0.55,0.75688,0.46,0.59353,0.44,0.7492,0.47,0.49286,0.021,0.48683,0.024
"WU2015","TPSSh",-1,FALSE,3.0127,0.16,-2.8262,0.18,2.2476,0.22,7.4637,0.61,-2.1018,0.18,-0.43513,0.51,-0.22888,0.084,0.35483,0.062,0.45373,0.063,6.1188,0.91,2.4002,0.85,1.3105,0.56,1.7628,0.53,0.34233,0.02,0.54449,0.024
"WU2015","LC-rTPSS",-1,FALSE,2.4987,0.12,2.4045,0.13,1.6375,0.099,5.2537,0.29,3.2619,0.23,-0.088523,0.19,-0.1632,0.081,-0.11248,0.08,0.21927,0.098,2.9985,0.34,0.086228,0.3,-0.17035,0.24,-0.8411,0.25,0.33548,0.022,0.46736,0.023
"WU2015","LC-wPBE",-1,FALSE,2.0052,0.1,1.7746,0.13,1.5892,0.089,4.6221,0.26,2.3499,0.36,-0.059442,0.15,-0.17707,0.083,-0.026543,0.1,0.29958,0.11,2.7062,0.24,0.077167,0.28,-0.251,0.17,-0.91775,0.26,0.35759,0.021,0.45912,0.024
"WU2015","LC-N12",-1,FALSE,3.7959,0.13,3.7576,0.14,1.7906,0.11,6.7613,0.3,4.3764,0.4,-0.2156,0.22,-0.15692,0.07,-0.13338,0.07,0.27902,0.087,3.2168,0.49,0.10209,0.31,-0.029057,0.24,-0.58812,0.31,0.25399,0.017,0.45647,0.023
"WU2015","LC-HCTH",-1,FALSE,1.7634,0.098,1.3083,0.13,1.6887,0.12,4.3486,0.29,1.5774,0.34,-0.34614,0.26,-0.16054,0.062,0.16839,0.062,0.35997,0.085,3.7577,0.68,0.44907,0.36,0.21897,0.32,-0.356,0.37,0.37386,0.021,0.46569,0.023
"WU2015","LC-tHCTH",-1,FALSE,1.3844,0.1,-0.10833,0.14,1.821,0.13,3.6709,0.25,-0.038056,0.54,-0.47767,0.27,-0.10223,0.06,0.27934,0.059,0.27117,0.076,3.9019,0.75,0.36951,0.35,-0.069034,0.44,-0.048693,0.39,0.45056,0.022,0.44928,0.021
"WU2015","M11",-1,FALSE,1.3293,0.087,-0.24264,0.13,1.6638,0.11,3.5204,0.33,0.76115,0.69,-0.02963,0.24,-0.082644,0.087,0.35937,0.075,0.29716,0.092,3.3079,0.39,0.099412,0.36,0.60823,0.39,-0.40676,0.37,0.40839,0.021,0.45671,0.024
"WU2015","CAM-B3LYP",-1,FALSE,1.5111,0.12,-1.0295,0.14,1.8014,0.13,4.6586,0.28,-0.02287,0.35,-0.31673,0.26,-0.20797,0.072,0.35594,0.084,0.35717,0.086,3.77,0.43,0.82807,0.43,0.02112,0.3,0.039431,0.36,0.49741,0.022,0.49889,0.023
"WU2015","wB97XD",-1,FALSE,1.5897,0.12,-1.1212,0.15,1.833,0.13,4.7829,0.27,-0.19557,0.47,-0.25783,0.26,-0.18985,0.073,0.33282,0.081,0.35337,0.095,3.6915,0.43,0.73821,0.42,-0.028475,0.3,0.10789,0.39,0.48362,0.022,0.49103,0.024
"WU2015","wB97",-1,FALSE,1.4456,0.087,0.13959,0.14,1.7694,0.097,3.3941,0.19,0.74691,0.4,-0.02014,0.15,-0.12487,0.083,0.3443,0.068,0.27258,0.093,2.6058,0.23,-0.067835,0.29,-0.36366,0.31,-0.94742,0.27,0.39126,0.018,0.44638,0.023
"WU2015","wB97X",-1,FALSE,1.4091,0.098,-0.54504,0.14,1.7339,0.1,3.6316,0.19,0.39295,0.47,-0.10717,0.17,-0.105,0.07,0.35836,0.095,0.25584,0.099,2.9059,0.26,0.27282,0.29,-0.4973,0.26,-0.46874,0.28,0.4418,0.019,0.46218,0.024
"WU2015","N12-SX",-1,FALSE,1.5768,0.15,-0.73318,0.18,2.242,0.19,5.788,0.5,0.2172,0.31,-0.66981,0.36,-0.27521,0.078,0.53081,0.076,0.47273,0.091,5.0437,0.72,2.0471,0.61,1.4215,0.52,1.2994,0.49,0.5425,0.021,0.54883,0.025
"WU2015","MN12-SX",-1,FALSE,4.8207,0.18,-4.7226,0.19,2.4062,0.21,9.5887,0.6,-3.3269,0.55,-0.44567,0.43,-0.24973,0.074,0.3262,0.06,0.53565,0.078,5.1498,0.76,1.273,0.72,0.78492,0.46,0.8157,0.64,0.24227,0.014,0.52237,0.024
"WU2015","HSE06",-1,FALSE,2.0901,0.15,-1.8027,0.17,2.0787,0.19,6.0493,0.47,-1.1143,0.25,-0.44764,0.46,-0.26446,0.082,0.46414,0.07,0.48438,0.067,5.6685,0.83,2.0874,0.73,0.96967,0.45,1.6695,0.57,0.43588,0.02,0.54683,0.025
"WU2015","HISS",-1,FALSE,1.8746,0.11,1.0518,0.16,2.0231,0.16,4.2476,0.4,1.8953,0.43,-0.61463,0.26,-0.19875,0.071,0.17272,0.065,0.50689,0.07,4.206,0.56,1.3569,0.5,0.40289,0.45,0.69034,0.45,0.37312,0.022,0.51131,0.024
"ZAS2019","HF",-1,FALSE,2.381,0.027,0.055514,0.041,3.1307,0.041,6.0671,0.11,0.62,0.38,-0.68547,0.072,-0.12102,0.011,0.32544,0.012,0.33474,0.015,5.1281,0.26,0.34519,0.06,0.19045,0.079,0.36815,0.1,0.43715,0.0037,0.45074,0.0064
"ZAS2019","MP2",-1,FALSE,1.309,0.013,0.00010465,0.021,1.6661,0.016,3.3459,0.053,-0.25,0.25,-0.067702,0.034,-0.048639,0.011,0.27471,0.012,0.24637,0.034,3.3332,0.059,0.14486,0.067,0.086382,0.064,-0.010238,0.078,0.42418,0.0032,0.418,0.0063
"ZAS2019","SLATM_L2",-1,FALSE,1.2596,0.026,0.12976,0.032,2.443,0.08,4.6923,0.15,0.14,0.076,0.79971,0.54,0.052329,0.022,0.64719,0.01,0.63847,0.011,28.515,2.7,4.4766,0.25,3.5075,0.27,3.5312,0.27,0.61015,0.0056,0.60861,0.0059
"ZHA2018","PBE",-1,FALSE,0.21057,0.0098,-0.20545,0.01,0.1504,0.0084,0.46667,0.034,-0.251,0.073,-0.54778,0.22,-0.043216,0.064,0.089877,0.066,0.24381,0.076,3.678,0.58,-0.17465,0.28,-0.32823,0.27,-0.34892,0.49,0.3764,0.019,0.40806,0.018
